data_extracao;prefixo;operador;placa;marca;modelo;data_primeiro_emplac;ano_fabricacao;combustivel
2026-08-20 01:58:08.516640;4410;VIACAO ALTO PETROPOLIS LTDA;TQP4D45;M. BENZ;OF 1721L;2025-06-13;2024;DIESEL
2026-08-20 01:58:08.516640;3374;SUDESTE TRANSPORTES COLETIVOS LTDA;JCK3G35;M. BENZ;OF 1721L;2023-12-15;2023;DIESEL
2026-08-20 01:58:08.516640;6730;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;JCI7A34;M. BENZ;OF 1721                                           ;2023-12-29;2023;DIESEL
2026-08-20 01:58:08.516640;6677;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;JCS7A49;M. BENZ;OF 1721L;2024-06-10;2023;DIESEL
2026-08-20 01:58:08.516640;131;CARRIS PORTO-ALEGRENSE LTDA;JCU9B81;M. BENZ;OF 1721L;2024-07-15;2024;DIESEL
2026-08-20 01:58:08.516640;4413;VIACAO ALTO PETROPOLIS LTDA;JCI5F77;M. BENZ;OF 1721                                           ;2023-11-16;2023;DIESEL
2026-08-20 01:58:08.516640;117;CARRIS PORTO-ALEGRENSE LTDA;JCQ5E24;M. BENZ;OF 1721L;2024-04-14;2024;DIESEL
2026-08-20 01:58:08.516640;115;CARRIS PORTO-ALEGRENSE LTDA;JCQ5E51;M. BENZ;OF 1721L;2024-04-17;2024;DIESEL
2026-08-20 01:58:08.516640;154;CARRIS PORTO-ALEGRENSE LTDA;JCV6J18;M. BENZ;OF 1619;2024-07-25;2024;DIESEL
2026-08-20 01:58:08.516640;6682;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;JDD9G87;M. BENZ;OF 1721L;2024-11-19;2024;DIESEL
2026-08-20 01:58:08.516640;1184;TRANSPORTES COLETIVOS TREVO LTDA;JDK5F64;M. BENZ;OF 1721L;2025-03-10;2024;DIESEL
2026-08-20 01:58:08.516640;1032;TRANSPORTES COLETIVOS TREVO LTDA;TQR5C13;M. BENZ;OF 1721L;2025-07-28;2025;DIESEL
2026-08-20 01:58:08.516640;146;CARRIS PORTO-ALEGRENSE LTDA;JCV6J47;M. BENZ;OF 1721L;2024-07-25;2024;DIESEL
2026-08-20 01:58:08.516640;3383;SUDESTE TRANSPORTES COLETIVOS LTDA;JDC7B45;M. BENZ;OF 1721L;2024-11-01;2024;DIESEL
2026-08-20 01:58:08.516640;6143;AUTO VIACAO NAVEGANTES LTDA;JDC7C47;M. BENZ;OF 1721L;2024-11-01;2024;DIESEL
2026-08-20 01:58:08.516640;1180;TRANSPORTES COLETIVOS TREVO LTDA;JDC8B74;M. BENZ;OF 1721L;2024-11-04;2024;DIESEL
2026-08-20 01:58:08.516640;2130;VIACAO TERESOPOLIS CAVALHADA LTDA;JDE4B80;Mercedes Benz;0F 1721 L;2024-11-28;2024;DIESEL
2026-08-20 01:58:08.516640;157;CARRIS PORTO-ALEGRENSE LTDA;JDF9E64;M. Benz;0500 MDA;2024-12-16;2024;DIESEL
2026-08-20 01:58:08.516640;1208;TRANSPORTES COLETIVOS TREVO LTDA;JDK5D70;M. BENZ;OF 1619;2025-03-10;2024;DIESEL
2026-08-20 01:58:08.516640;4835;AUTO VIACAO PRESIDENTE VARGAS LTDA;JDM5B64;M. BENZ;OF 1721                                           ;2025-04-09;2024;DIESEL
2026-08-20 01:58:08.516640;6747;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;JBV7E11;M. BENZ;OF 1721                                           ;2023-03-10;2022;DIESEL
2026-08-20 01:58:08.516640;1225;TRANSPORTES COLETIVOS TREVO LTDA;JCH9H81;M. BENZ;OF 1721L;2023-11-06;2023;DIESEL
2026-08-20 01:58:08.516640;2480;RESTINGA TRANSPORTES COLETIVOS LTDA;JCI4E01;M. BENZ;OF 1721L;2023-11-17;2023;DIESEL
2026-08-20 01:58:08.516640;6459;NORTRAN TRANSPORTES COLETIVOS LTDA;JCP4F78;M. BENZ;OF 1721                                           ;2024-03-28;2023;DIESEL
2026-08-20 01:58:08.516640;103;CARRIS PORTO-ALEGRENSE LTDA;JCR8H20;M. BENZ;OF 1721L;2024-05-31;2024;DIESEL
2026-08-20 01:58:08.516640;151;CARRIS PORTO-ALEGRENSE LTDA;JCV2F21;M. BENZ;OF 1619;2024-07-18;2024;DIESEL
2026-08-20 01:58:08.516640;9604;SUDESTE TRANSPORTES COLETIVOS LTDA;JCV9A40;Mercedes Benz;0500 U ELÉTRICO;2024-07-30;2024;ELÉTRICO
2026-08-20 01:58:08.516640;130;CARRIS PORTO-ALEGRENSE LTDA;JCW5E31;M. BENZ;OF 1721L;2024-08-07;2024;DIESEL
2026-08-20 01:58:08.516640;4404;VIACAO ALTO PETROPOLIS LTDA;JCX8H22;M. BENZ;OF 1721                                           ;2024-05-31;2023;DIESEL
2026-08-20 01:58:08.516640;164;CARRIS PORTO-ALEGRENSE LTDA;JDA4C60;M. BENZ;OF 1721L;2024-10-02;2024;DIESEL
2026-08-20 01:58:08.516640;3380;SUDESTE TRANSPORTES COLETIVOS LTDA;JDB3I10;M. BENZ;OF 1721L;2024-10-15;2024;DIESEL
2026-08-20 01:58:08.516640;134;CARRIS PORTO-ALEGRENSE LTDA;JCU9B97;M. BENZ;OF 1721L;2024-07-15;2024;DIESEL
2026-08-20 01:58:08.516640;6691;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;TQP0A18;M. BENZ;OF 1721L;2025-06-04;2024;DIESEL
2026-08-20 01:58:08.516640;2102;VIACAO TERESOPOLIS CAVALHADA LTDA;JDF3I42;M. BENZ;OF 1721L;2024-12-06;2024;DIESEL
2026-08-20 01:58:08.516640;4525;VIACAO ALTO PETROPOLIS LTDA;TQP4E35;M. BENZ;OF 1721L;2025-06-16;2025;DIESEL
2026-08-20 01:58:08.516640;6497;NORTRAN TRANSPORTES COLETIVOS LTDA;TQS0F07;M. BENZ;OF 1721L;2025-08-11;2025;DIESEL
2026-08-20 01:58:08.516640;2383;VIACAO BELEM NOVO LTDA;JDC9H66;M. BENZ;OF 1721L;2024-11-06;2024;DIESEL
2026-08-20 01:58:08.516640;6140;AUTO VIACAO NAVEGANTES LTDA;TQP1D42;M. BENZ;OF 1721L;2025-06-10;2025;DIESEL
2026-08-20 01:58:08.516640;147;CARRIS PORTO-ALEGRENSE LTDA;JCV2E49;M. BENZ;OF 1721L;2024-07-18;2024;DIESEL
2026-08-20 01:58:08.516640;179;CARRIS PORTO-ALEGRENSE LTDA;JDA2I90;M. BENZ;OF 1721L;2024-09-30;2024;ÁLCOOL/GASOLINA/GNV
2026-08-20 01:58:08.516640;2440;RESTINGA TRANSPORTES COLETIVOS LTDA;JDB4A14;M. BENZ;OF 1619;2024-10-15;2024;DIESEL
2026-08-20 01:58:08.516640;1230;TRANSPORTES COLETIVOS TREVO LTDA;JDB5E30;M. BENZ;OF 1619;2024-10-17;2024;DIESEL
2026-08-20 01:58:08.516640;4436;VIACAO ALTO PETROPOLIS LTDA;JDE5B03;M. BENZ;OF 1721                                           ;2024-11-27;2024;DIESEL
2026-08-20 01:58:08.516640;160;CARRIS PORTO-ALEGRENSE LTDA;JDF9E65;M. Benz;0500 MDA;2024-12-16;2024;DIESEL
2026-08-20 01:58:08.516640;2311;VIACAO BELEM NOVO LTDA;TQP0D34;M. BENZ;OF 1721L;2025-06-09;2024;DIESEL
2026-08-20 01:58:08.516640;6729;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;JCI7A02;M. BENZ;OF 1721                                           ;2023-12-29;2023;DIESEL
2026-08-20 01:58:08.516640;6134;AUTO VIACAO NAVEGANTES LTDA;JDB4E74;M. BENZ;OF 1721L;2024-10-15;2024;DIESEL
2026-08-20 01:58:08.516640;4427;VIACAO ALTO PETROPOLIS LTDA;JDE5A79;M. BENZ;OF 1721                                           ;2024-11-27;2024;DIESEL
2026-08-20 01:58:08.516640;1210;TRANSPORTES COLETIVOS TREVO LTDA;JDK6A18;M. BENZ;OF1619;2025-03-11;2024;DIESEL
2026-08-20 01:58:08.516640;4519;VIACAO ALTO PETROPOLIS LTDA;TQP4D82;M. BENZ;OF 1721L;2025-06-13;2024;DIESEL
2026-08-20 01:58:08.516640;6512;NORTRAN TRANSPORTES COLETIVOS LTDA;TQS0F00;M. BENZ;OF 1721L;2025-08-11;2025;DIESEL
2026-08-20 01:58:08.516640;122;CARRIS PORTO-ALEGRENSE LTDA;JCQ5E58;M. BENZ;OF 1721L;2024-04-17;2024;DIESEL
2026-08-20 01:58:08.516640;109;CARRIS PORTO-ALEGRENSE LTDA;JCR8H27;M. BENZ;OF 1721L;2024-05-31;2024;DIESEL
2026-08-20 01:58:08.516640;6656;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;JCS6H44;M. BENZ;OF 1721L;2024-06-10;2023;DIESEL
2026-08-20 01:58:08.516640;116;CARRIS PORTO-ALEGRENSE LTDA;JCV2D54;M. BENZ;OF 1721L;2024-07-18;2024;DIESEL
